RecordID,Offense,IncidentID,BlockNumber,StreetName,Agency,DateReported,HourReported,ReportingOfficer
30,Assault Simple,202200029875,100,"CHANCELLOR ST, 1",CPD,2022/10/15 23:27:22+00,1927,"Darby, Michael"
31,Assault Aggravated,202200029874,200,RIDGE MCINTIRE RD,CPD,2022/10/15 21:15:17+00,1715,"Green, Bryan"
32,Misc - Non-Criminal Call,202200029852,1300,"CARLTON AVE, 308",CPD,2022/10/15 15:18:49+00,1118,"Barbour, Tremaine"
33,Larceny - From Motor Vehicle,202280000889,400,FAIRWAY AVE,CPD,2022/10/15 14:30:04+00,1030,"Moje, Ashley"
34,Assault Simple,202200029850,700,PROSPECT AVE,CPD,2022/10/15 14:21:34+00,1021,"Green, Bryan"
35,Burglary,202200029849,1100,"EMMET ST N, A",CPD,2022/10/15 14:06:20+00,1006,"Hopiane, Sayd"
36,Lost/FoundProperty,202280000888,1500,VIRGINIA AVE,CPD,2022/10/15 13:55:43+00,0955,"Moje, Ashley"
37,Larceny - Of Veh Parts/Access,202280000887,700,WALKER SQ,CPD,2022/10/15 13:54:03+00,0954,"Moje, Ashley"
38,Larceny - Of Veh Parts/Access,202200029848,400,CITY WALK WAY,CPD,2022/10/15 12:20:01+00,0820,"Eckenroth, Rachel"
39,Assist Citizen - Mental/TDO/ECO,202200029827,2100,"MICHIE DR, 48A",CPD,2022/10/15 06:00:14+00,0200,"Curry, Brian"
40,Hit and Run,202200029819,,ALTAMONT CIR / W HIGH ST,CPD,2022/10/15 05:38:27+00,0138,"Lowry, Brent"
41,Family Offense - Non-Violent,202200029793,700,MONTROSE AVE,CPD,2022/10/15 03:29:14+00,2329,"Vlasis, Christopher"
42,Assault Simple,202200029779,1500,E HIGH ST,CPD,2022/10/15 01:00:07+00,2100,"Whitten, Tobyn"
43,Assault Simple,202200029774,1600,CHERRY AVE,CPD,2022/10/15 00:14:27+00,2014,"Middleton, Matthew"
44,Larceny - All Other,202200029775,800,W MAIN ST,CPD,2022/10/15 00:04:19+00,2004,"Lowe, Courtney"
45,Shots Fired/Illegal Hunting,202200029768,200,STRIBLING AVE,CPD,2022/10/14 23:31:09+00,1931,"Smith, Daniel"
46,Larceny - Theft from Building,202200029767,1300,"CARLTON AVE, 301",CPD,2022/10/14 23:16:59+00,1916,"Lowe, Courtney"
47,Assault Simple,202200029766,1000,FOREST HILLS AVE,CPD,2022/10/14 22:52:39+00,1852,"Bentz, Benjamin "
48,Hit and Run,202200029758,800,E JEFFERSON ST,CPD,2022/10/14 20:37:22+00,1637,"Whitten, Tobyn"
49,Assault Simple,202200029746,800,CABELL AVE,CPD,2022/10/14 19:17:52+00,1517,"Burnett, James"
50,Larceny - From Motor Vehicle,202280000886,2400,JEFFERSON PARK AVE,CPD,2022/10/14 18:17:16+00,1417,"Moje, Ashley"
51,Larceny - Of Veh Parts/Access,202200029729,1900,EMMET ST N,CPD,2022/10/14 16:42:26+00,1242,"Hopiane, Sayd"
52,Larceny - All Other,202200029751,1800,WINSTON RD,CPD,2022/10/14 15:46:59+00,1146,"Lowe, Courtney"
53,Fraud-false pretense,202280000885,1100,E JEFFERSON ST,CPD,2022/10/14 15:24:40+00,1124,"Moje, Ashley"
54,Larceny - Theft from Building,202280000884,300,7 1/2 ST SW,CPD,2022/10/14 14:54:24+00,1054,"Moje, Ashley"
55,Vandalism,202200029710,300,14TH ST NW,CPD,2022/10/14 09:03:42+00,0503,"Hounsel, Eli"
56,Hit and Run,202200029704,,IVY RD / EMMET ST N,CPD,2022/10/14 04:47:19+00,0047,"Hounsel, Eli"
57,Family Offense - Non-Violent,202200029702,1100,FOREST HILLS AVE,CPD,2022/10/14 04:34:27+00,0034,"Aguilera, Natalia"
58,Vandalism,202200029697,,GARRETT ST / 2ND ST SE,CPD,2022/10/14 03:58:33+00,2358,"Blackwell, Ryan"
59,Larceny - All Other,202200029675,100,ALMERE AVE,CPD,2022/10/13 22:27:06+00,1827,"Lowe, Courtney"
60,Drunkeness DIP,202200029673,800,ROSE HILL DR,CPD,2022/10/13 22:03:39+00,1803,"Smith, Daniel"
61,Hit and Run,202200029674,1700,ALLIED LN,CPD,2022/10/13 22:01:46+00,1801,"Darby, Michael"
62,Disorderly Conduct,202200029667,800,"HARDY DR, C",CPD,2022/10/13 20:53:20+00,1653,"Whitten, Tobyn"
63,Assist Citizen - Mental/TDO/ECO,202200029659,500,MARTHA JEFFERSON DR,CPD,2022/10/13 19:14:06+00,1514,"Shiflett, Tammy"
64,Vandalism,202280000883,100,BELMONT COTTAGE,CPD,2022/10/13 17:49:39+00,1349,"Moje, Ashley"
65,Motor Vehicle Theft,202200029648,800,"HARDY DR, A",CPD,2022/10/13 17:03:53+00,1303,"Burnett, James"
66,Larceny - Theft from Building,202280000882,300,"15TH ST NW, 5020",CPD,2022/10/13 15:55:53+00,1155,"Moje, Ashley"
67,Larceny - From Motor Vehicle,202200029634,1600,EMMET ST N,CPD,2022/10/13 14:11:24+00,1011,"Nash, Darius"
68,Assault Simple,202200029630,1600,EMMET ST N,CPD,2022/10/13 13:35:58+00,0935,"Nash, Darius"
69,Larceny - From Motor Vehicle,202200029626,300,4TH ST SE,CPD,2022/10/13 12:49:17+00,0849,"Pendleton, Eric"
70,Drug Investigation,202200029622,700,"PROSPECT AVE, A",CPD,2022/10/13 12:13:21+00,0813,"Green, Bryan"
71,Vandalism,202280000881,200,RIDGE ST,CPD,2022/10/13 02:33:02+00,2233,"Moje, Ashley"
72,Assist Citizen - Welfare Check,202200029599,,LANKFORD AVE / 1ST ST S,CPD,2022/10/13 01:58:30+00,2158,"Whitten, Tobyn"
73,Assist Citizen - Mental/TDO/ECO,202200029586,100,DANBURY CT,CPD,2022/10/12 22:24:35+00,1824,"Smith, Daniel"
74,Fraud-impersonation,202280000880,200,14TH ST NW,CPD,2022/10/12 19:43:19+00,1543,"Moje, Ashley"
75,Vandalism,202280000879,100,MADISON LN,CPD,2022/10/12 18:35:21+00,1435,"Moje, Ashley"
76,Hit and Run,202200029565,700,PROSPECT AVE,CPD,2022/10/12 18:08:53+00,1408,"Green, Bryan"
77,Fraud-false pretense,202280000878,100,BRANDYWINE CT,CPD,2022/10/12 17:39:24+00,1339,"Moje, Ashley"
78,Death Investigation - DOA,202200029562,800,"HARDY DR, E",CPD,2022/10/12 17:30:08+00,1330,"Perkins, Ceaser"
79,Unauthorized Use of Motor Veh,202200029549,1300,NUNLEY ST,CPD,2022/10/12 16:20:35+00,1220,"Shiflett, Tammy"
80,Misc - Non-Criminal Call,202200029543,600,E MARKET ST,CPD,2022/10/12 15:08:38+00,1108,"Stayments, Ronald "
81,Lost/FoundProperty,202200029542,200,6TH ST SE,CPD,2022/10/12 14:13:36+00,1013,"Arndt, Brian"
82,Animal Complaint,202200029537,,EMMET ST N @ WISE ST,CPD,2022/10/12 14:10:03+00,1010,"Allen, Claire"
83,Vandalism,202200029527,700,"PROSPECT AVE, D",CPD,2022/10/12 11:29:09+00,0729,"Shiflett, Tammy"
84,Motor Vehicle Theft,202200029523,900,HARRIS ST,CPD,2022/10/12 10:35:55+00,0635,"Lucas, Todd"
85,Assault Aggravated,202200029522,900,HARRIS ST,CPD,2022/10/12 10:18:59+00,0618,"Curry, Brian"
86,Assist Citizen - Mental/TDO/ECO,202200029516,1400,E HIGH ST,CPD,2022/10/12 08:06:27+00,0406,"Miller, Devin"
87,Lost/FoundProperty,202280000877,400,CARL SMITH ST,CPD,2022/10/11 21:05:34+00,1705,"Moje, Ashley"
88,Assault Simple,202200029476,1600,"6TH ST SE, LOT 32",CPD,2022/10/11 20:43:21+00,1643,"Venereo, Arturo"
89,Larceny - Of Veh Parts/Access,202280000876,800,W MAIN ST,CPD,2022/10/11 20:08:09+00,1608,"Moje, Ashley"
90,Larceny - From Motor Vehicle,202200029466,1400,HOLLY RD,CPD,2022/10/11 18:57:32+00,1457,"Lowe, Courtney"
91,Vandalism,202200029463,100,"LONGWOOD DR, B",CPD,2022/10/11 18:28:45+00,1428,"Hickey, Declan"
92,Animal Complaint,202200029454,2000,MORTON DR,CPD,2022/10/11 16:59:45+00,1259,"Allen, Claire"
93,Vandalism,202200029447,2100,ANGUS RD,CPD,2022/10/11 15:11:55+00,1111,"Hickey, Declan"
94,Assist Citizen - Mental/TDO/ECO,202200029415,1100,EMMET ST N,CPD,2022/10/11 05:37:20+00,0137,"Curry, Brian"
95,Traffic Stops,202200029414,,SEMINOLE @ GREENBRIER DR,CPD,2022/10/11 05:22:09+00,0122,"Curry, Brian"
96,Driving Under the Influence,202200029403,,OXFORD RD / RUGBY RD,CPD,2022/10/11 01:49:19+00,2149,"Mullins, James"
97,Assist Citizen - Mental/TDO/ECO,202200029400,900,ROCK CREEK RD,CPD,2022/10/11 00:37:01+00,2037,"Venereo, Arturo"
98,Larceny - Theft from Building,202200029398,1100,EMMET ST N,CPD,2022/10/11 00:07:17+00,2007,"Mullins, James"
99,Family Offense - Non-Violent,202200029396,700,"PROSPECT AVE, E",CPD,2022/10/10 23:21:09+00,1921,"Alfonso, Sean"
100,Assault Intimidation,202200029384,2300,HIGHLAND AVE,CPD,2022/10/10 22:09:48+00,1809,"Alfonso, Sean"
101,Missing Person-juvenile,202200029385,1600,DEL MAR DR,CPD,2022/10/10 21:53:39+00,1753,"Lowry, Ryan"
102,Lost/FoundProperty,202280000874,200,MONTICELLO AVE,CPD,2022/10/10 21:05:53+00,1705,"Moje, Ashley"
103,Forgery/Counterfeiting,202200029365,1300,LONG ST,CPD,2022/10/10 17:58:33+00,1358,"Shiflett, Tammy"
104,Assault Simple,202200029361,1500,DAIRY RD,CPD,2022/10/10 17:01:34+00,1301,"Hopiane, Sayd"
105,Harassment,202280000873,300,MONTICELLO RD,CPD,2022/10/10 16:27:15+00,1227,"Moje, Ashley"
106,Hit and Run,202200029357,800,E MARKET ST,CPD,2022/10/10 16:00:44+00,1200,"Lowry, Ryan"
107,Larceny - Theft from Building,202280000872,700,"PRESTON AVE, 722",CPD,2022/10/10 15:28:17+00,1128,"Moje, Ashley"
108,Misc - Criminal Call,202200029353,1600,UNIVERSITY AVE,CPD,2022/10/10 15:03:46+00,1103,"Shiflett, Tammy"
109,Larceny - Theft from Building,202280000871,100,"NORWICH ST, 108",CPD,2022/10/10 14:41:41+00,1041,"Moje, Ashley"
110,Larceny - All Other,202200029347,1000,KING ST,CPD,2022/10/10 14:33:51+00,1033,"Houchens, Jamell"
111,Harassment,202280000870,400,MOBILE LN,CPD,2022/10/10 14:24:49+00,1024,"Moje, Ashley"
112,Lost/FoundProperty,202200029349,900,EMMET ST N,CPD,2022/10/10 14:23:55+00,1023,"Hopiane, Sayd"
113,Suspicious Person,202200029341,100,DUNOVA CT,CPD,2022/10/10 13:34:20+00,0934,"Nash, Darius"
114,Larceny - Theft from Building,202280000869,1100,"ROSE HILL DR, 3",CPD,2022/10/10 13:18:00+00,0918,"Moje, Ashley"
115,Fraud-credit card,202200029290,1900,EMMET ST N,CPD,2022/10/10 00:56:49+00,2056,"Smith, Daniel"
116,Sex Offense - Forcible Rape,202200029289,1400,BAKER ST,CPD,2022/10/10 00:33:21+00,2033,"Darby, Michael"
117,Assist Citizen - Mental/TDO/ECO,202200029284,300,"CARLTON RD, 107",CPD,2022/10/09 23:44:42+00,1944,"Curry, Brian"
118,Trespass,202200029270,100,MAURY AVE,CPD,2022/10/09 17:50:38+00,1350,"Eckenroth, Rachel"
119,Missing Person-adult,202200029268,1200,EMMET ST N,CPD,2022/10/09 17:27:27+00,1327,"Hopiane, Sayd"
120,Larceny - From Motor Vehicle,202280000868,1100,"PRESTON AVE, 3B",CPD,2022/10/09 15:57:01+00,1157,"Moje, Ashley"
121,Vandalism,202280000867,600,MADISON AVE,CPD,2022/10/09 15:06:16+00,1106,"Moje, Ashley"
122,Assault Aggravated,202200029263,1500,TRAILRIDGE RD,CPD,2022/10/09 14:36:50+00,1036,"Green, Bryan"
123,Larceny - Of Veh Parts/Access,202200029262,600,W MAIN ST,CPD,2022/10/09 14:30:28+00,1030,"Eckenroth, Rachel"
124,Larceny - From Motor Vehicle,202200029257,2000,INDIA RD,CPD,2022/10/09 14:00:32+00,1000,"Hopiane, Sayd"
125,Assist Citizen - Mental/TDO/ECO,202200029255,1400,"MONTICELLO RD, 115",CPD,2022/10/09 13:16:40+00,0916,"Eckenroth, Rachel"
126,Larceny - Pocket Picking,202280000866,600,9TH ST SW,CPD,2022/10/09 08:14:52+00,0414,"Moje, Ashley"
127,Robbery - Armed,202200029233,200,HARTMANS MILL RD,CPD,2022/10/09 06:29:29+00,0229,"Vlasis, Christopher"
128,Motor Vehicle Theft,202200029229,2100,JEFFERSON PARK AVE,CPD,2022/10/09 05:37:16+00,0137,"Lowry, Brent"
129,Assault Simple,202200029226,200,ELLIEWOOD AVE,CPD,2022/10/09 05:02:11+00,0102,"Lowry, Brent"
130,Vandalism,202200029209,100,SUMMIT ST,CPD,2022/10/09 03:30:22+00,2330,"Venereo, Arturo"
131,Domestic Disturbance,202200029207,200,"MONTICELLO AVE, 434",CPD,2022/10/09 03:17:36+00,2317,"Vlasis, Christopher"
132,Vandalism,202200029196,200,E MARKET ST,CPD,2022/10/09 02:18:29+00,2218,"Wells, Matthew"
133,Hit and Run,202200029195,,E MARKET ST / 10TH ST NE,CPD,2022/10/09 01:51:35+00,2151,"Whitten, Tobyn"
134,Hit and Run,202200029176,,RAMP / JOHN W WARNER PKWY,CPD,2022/10/08 21:47:00+00,1747,"Whitten, Tobyn"
135,Larceny - From Motor Vehicle,202200029175,900,E MARKET ST,CPD,2022/10/08 21:42:39+00,1742,"Whitten, Tobyn"
136,Assault Simple,202200029172,300,E JEFFERSON ST,CPD,2022/10/08 21:30:20+00,1730,"Lowry, Ryan"
137,Larceny - Theft from Building,202280000865,100,14TH ST NW,CPD,2022/10/08 20:09:56+00,1609,"Moje, Ashley"
138,Robbery - Armed,202200029157,1400,"MONTICELLO RD, 210",CPD,2022/10/08 19:01:02+00,1501,"Pendleton, Eric"
139,Larceny - All Other,202200029150,1100,EMMET ST N,CPD,2022/10/08 17:40:37+00,1340,"Barbour, Tremaine"
140,Harassment,202280000863,800,2ND ST NE,CPD,2022/10/08 17:09:49+00,1309,"Moje, Ashley"
141,Assault Intimidation,202200029128,900,MONTROSE AVE,CPD,2022/10/08 14:53:27+00,1053,"Green, Bryan"
142,Larceny - All Other,202200029117,1000,KING ST,CPD,2022/10/08 12:10:16+00,0810,"Eckenroth, Rachel"
143,Misc - Criminal Call,202200029114,200,14TH ST NW,CPD,2022/10/08 11:17:58+00,0717,"Blackwell, Kyle"
144,Suspicious Activity,202200029113,700,LYONS AVE,CPD,2022/10/08 08:38:33+00,0438,"Hickey, Declan"
145,Assist Citizen - Mental/TDO/ECO,202200029103,200,"FAIRWAY AVE, B",CPD,2022/10/08 05:20:55+00,0120,"Middleton, Matthew"
146,Suspicious Activity,202200029095,2100,"ARLINGTON BLVD, 341",CPD,2022/10/08 03:44:49+00,2344,"Bentz, Benjamin "
147,Drunkeness DIP,202200029094,800,LOCUST AVE,CPD,2022/10/08 03:40:50+00,2340,"Whitten, Tobyn"
148,Sex Offense-forcible fondling,202200029093,,COLEMAN,CPD,2022/10/08 03:31:02+00,2331,"Wells, Matthew"
149,Harassment,202280000862,1200,EMMET ST N,CPD,2022/10/08 01:56:34+00,2156,"Moje, Ashley"
150,Assist Citizen - Mental/TDO/ECO,202200029082,700,MONTROSE AVE,CPD,2022/10/08 01:47:52+00,2147,"Darby, Michael"
151,Harassment,202280000861,800,2ND ST NE,CPD,2022/10/07 22:11:21+00,1811,"Moje, Ashley"
152,Hit and Run,202200029064,,RIVER RD / LONG ST,CPD,2022/10/07 21:53:22+00,1753,"Bentz, Benjamin "
153,Warrant Service,202200029059,1500,E HIGH ST,CPD,2022/10/07 21:14:28+00,1714,"Whitten, Tobyn"
154,Larceny - Theft from Building,202200029054,2300,SHELBY DR,CPD,2022/10/07 20:16:40+00,1616,"Darby, Michael"
155,Larceny - Theft from Building,202280000860,400,MONROE LN,CPD,2022/10/07 19:32:42+00,1532,"Moje, Ashley"
156,Burglary,202200029049,200,MONTE VISTA AVE,CPD,2022/10/07 18:55:41+00,1455,"Middleton, Matthew"
157,Missing Person-juvenile,202200029014,900,"1ST ST S, B",CPD,2022/10/07 12:25:42+00,0825,"Pendleton, Eric"
158,Larceny - From Motor Vehicle,202200029015,900,RIVES ST,CPD,2022/10/07 12:15:29+00,0815,"Pendleton, Eric"
159,Assist Citizen - Mental/TDO/ECO,202200029005,1100,EMMET ST N,CPD,2022/10/07 10:21:23+00,0621,"Miller, Devin"
160,Shots Fired/Illegal Hunting,202200029004,900,RIVES ST,CPD,2022/10/07 10:02:31+00,0602,"Blackwell, Ryan"
161,Drunkeness DIP,202200028996,100,W JEFFERSON ST,CPD,2022/10/07 04:15:36+00,0015,"Lowry, Brent"
162,Fraud-false pretense,202280000859,900,EMMET ST N,CPD,2022/10/07 03:04:12+00,2304,"Moje, Ashley"
163,Warrant Service,202200028984,500,E MAIN ST,CPD,2022/10/07 01:01:56+00,2101,"Smith, Daniel"
164,Drunkeness DIP,202200028975,2000,INDIA RD,CPD,2022/10/06 23:03:57+00,1903,"Lee, Chandler"
165,Assist Citizen - Mental/TDO/ECO,202200028970,600,E MARKET ST,CPD,2022/10/06 21:21:40+00,1721,"Whitten, Tobyn"
166,Missing Person-juvenile,202200028969,500,PATON ST,CPD,2022/10/06 21:01:26+00,1701,"Middleton, Matthew"
167,Death Investigation - DOA,202200028966,200,MONTE VISTA AVE,CPD,2022/10/06 20:39:04+00,1639,"Bentz, Benjamin "
168,Suspicious Activity,202200028962,1000,ST CLAIR AVE,CPD,2022/10/06 19:45:07+00,1545,"Shiflett, Tammy"
169,Misc - Criminal Call,202200028955,100,MELBOURNE PARK CIR,CPD,2022/10/06 18:47:33+00,1447,"Shiflett, Tammy"
170,Hit and Run,202200028950,600,CONCORD AVE,CPD,2022/10/06 18:01:41+00,1401,"Lowe, Courtney"
171,Fraud-impersonation,202280000858,1600,"MERIDIAN ST, Apt B",CPD,2022/10/06 18:00:16+00,1400,"Moje, Ashley"
172,Assist Citizen - Mental/TDO/ECO,202200028959,1500,"6TH ST SE, A",CPD,2022/10/06 17:52:30+00,1352,"Smith, Daniel"
173,Motor Vehicle Theft,202200028947,,4TH ST SE / E WATER ST,CPD,2022/10/06 16:49:53+00,1249,"Pendleton, Eric"
174,Larceny - Of Veh Parts/Access,202280000857,100,OAKHURST CIR,CPD,2022/10/06 14:10:25+00,1010,"Moje, Ashley"
175,Burglary,202200028930,2100,"MICHIE DR, 109B",CPD,2022/10/06 12:45:38+00,0845,"Burnett, James"
176,Burglary,202200028929,1100,MILLMONT ST,CPD,2022/10/06 11:37:22+00,0737,"Hopiane, Sayd"
177,Suspicious Activity,202200028928,400,DICE ST,CPD,2022/10/06 11:09:05+00,0709,"Hickey, Declan"
178,Larceny - From Motor Vehicle,202200028913,700,ANDERSON ST,CPD,2022/10/06 01:39:46+00,2139,"Lowe, Courtney"
179,Suspicious Activity,202200028870,500,PARK HILL,CPD,2022/10/05 19:31:53+00,1531,"Lowe, Courtney"
180,Larceny - All Other,202200028866,800,W MAIN ST,CPD,2022/10/05 18:51:20+00,1451,"Lowe, Courtney"
181,Fraud-wire fraud,202280000856,,BARRACKS RD,CPD,2022/10/05 18:39:41+00,1439,"Moje, Ashley"
182,Suspicious Activity,202200028852,200,E MARKET ST,CPD,2022/10/05 15:47:04+00,1147,"Shiflett, Tammy"
183,Assault Simple,202200028851,700,NASSAU ST,CPD,2022/10/05 15:46:38+00,1146,"Pendleton, Eric"
184,Larceny - Theft from Building,202280000855,1000,EMMET ST N,CPD,2022/10/05 15:35:39+00,1135,"Moje, Ashley"
185,Larceny - All Other,202200028846,700,PROSPECT AVE,CPD,2022/10/05 14:07:06+00,1007,"Pendleton, Eric"
186,Larceny - Theft from Building,202280000854,2600,JEFFERSON PARK AVENUE AVE,CPD,2022/10/05 13:43:07+00,0943,"Moje, Ashley"
187,Assist Citizen - Mental/TDO/ECO,202200028838,700,NASSAU ST,CPD,2022/10/05 13:26:00+00,0926,"Wells, Matthew"
188,Larceny - From Motor Vehicle,202200028834,500,"HARRIS RD, 150",CPD,2022/10/05 10:00:14+00,0600,"Blackwell, Kyle"
189,Shots Fired/Illegal Hunting,202200028830,100,ELLIOTT AVE,CPD,2022/10/05 09:08:52+00,0508,"Blackwell, Ryan"
190,Assist Citizen - Mental/TDO/ECO,202200028827,2100,BARRACKS RD,CPD,2022/10/05 08:06:26+00,0406,"Miller, Devin"
191,Shots Fired/Illegal Hunting,202200028822,800,BOLLING AVE,CPD,2022/10/05 05:10:34+00,0110,"Blackwell, Ryan"
192,Vandalism,202200028821,,OLD PRESTON AVE / PRESTON AVE,CPD,2022/10/05 04:14:36+00,0014,"Wells, Matthew"
193,Fraud-false pretense,202280000853,1600,MERIDIAN ST,CPD,2022/10/05 02:01:36+00,2201,"Moje, Ashley"
194,Fraud-wire fraud,202200028810,1600,GROVE RD,CPD,2022/10/05 02:00:03+00,2200,"Lowe, Courtney"
195,Assist Citizen - Mental/TDO/ECO,202200028797,100,PIEDMONT AVE N,CPD,2022/10/04 22:09:22+00,1809,"Darby, Michael"
196,Assault Simple,202200028789,1200,EMMET ST N,CPD,2022/10/04 20:44:11+00,1644,"Lowe, Courtney"
197,Drunkeness DIP,202200028777,400,RIDGE MCINTIRE RD,CPD,2022/10/04 19:21:02+00,1521,"Shiflett, Tammy"
198,Larceny - Of Veh Parts/Access,202200028773,200,GARRETT ST,CPD,2022/10/04 19:11:21+00,1511,"Lowe, Courtney"
199,Larceny - Shoplifitng,202200028769,100,SEMINOLE CT,CPD,2022/10/04 18:32:59+00,1432,"Hopiane, Sayd"
200,Larceny - Theft from Building,202200028754,800,"CABELL AVE, C",CPD,2022/10/04 16:13:15+00,1213,"Burnett, James"
201,Larceny - All Other,202200028753,900,SEMINOLE CT,CPD,2022/10/04 16:01:37+00,1201,"Hopiane, Sayd"
202,Larceny - From Motor Vehicle,202200028748,800,RIDGE ST,CPD,2022/10/04 15:46:15+00,1146,"Hickey, Declan"
203,Suspicious Activity,202200028747,800,"HARDY DR, B",CPD,2022/10/04 15:26:39+00,1126,"Hamill, Annmarie"
204,Fraud-impersonation,202200028737,1400,UNIVERSITY AVE,CPD,2022/10/04 13:20:24+00,0920,"Burnett, James"
205,Suspicious Activity,202200028735,1200,HAZEL ST,CPD,2022/10/04 12:58:34+00,0858,"Shiflett, Tammy"
206,Larceny - Theft from Building,202280000847,1300,CHESAPEAKE ST,CPD,2022/10/04 12:16:58+00,0816,"Moje, Ashley"
207,Motor Vehicle Theft,202200028730,1200,E MARKET ST,CPD,2022/10/04 11:52:55+00,0752,"Shiflett, Tammy"
208,Assault Intimidation,202200028729,200,RIDGE MCINTIRE RD,CPD,2022/10/04 10:12:59+00,0612,"Wells, Matthew"
209,Vandalism,202280000849,1500,ROSA TER,CPD,2022/10/04 02:58:57+00,2258,"Moje, Ashley"
210,Shots Fired/Illegal Hunting,202200028691,1600,"EMMET ST N, 228",CPD,2022/10/04 02:47:02+00,2247,"Hounsel, Eli"
211,Vandalism,202280000848,1500,ROSA TER,CPD,2022/10/04 01:56:04+00,2156,"Moje, Ashley"
212,Suspicious Activity,202200028678,2100,ANGUS RD,CPD,2022/10/03 22:53:30+00,1853,"Darby, Michael"
213,Suspicious Activity,202200028675,500,CLEVELAND AVE,CPD,2022/10/03 22:40:05+00,1840,"Alfonso, Sean"
214,Hit and Run,202200028668,,EMMET ST S @ STADIUM RD,CPD,2022/10/03 21:41:45+00,1741,"Houchens, Logan"
215,Hit and Run,202200028664,1000,CHERRY AVE,CPD,2022/10/03 20:39:56+00,1639,"Darby, Michael"
216,Larceny - From Motor Vehicle,202280000850,700,"MADISON AVE, A",CPD,2022/10/03 20:22:38+00,1622,"Moje, Ashley"
