RecordID,Offense,IncidentID,BlockNumber,StreetName,Agency,DateReported,HourReported,ReportingOfficer
52,Larceny - From Motor Vehicle,202280000911,500,9TH ST SW,CPD,2022/10/20 11:18:41+00,0718,"Moje, Ashley"
53,Driving Under the Influence,202200030307,400,PRESTON AVE,CPD,2022/10/20 03:24:15+00,2324,"Miller, Devin"
54,Assist Citizen - Mental/TDO/ECO,202200030292,200,RIDGE ST,CPD,2022/10/19 22:38:53+00,1838,"Middleton, Matthew"
55,Accident w/Injuries,202200030283,,14TH ST NW / WERTLAND ST,CPD,2022/10/19 20:37:58+00,1637,"Burchardt, Rudy"
56,Hit and Run,202200030282,1000,"LOCUST AVE, A",CPD,2022/10/19 20:35:28+00,1635,"Lowe, Courtney"
57,Crime Prevent Initiative - CPI,202200030276,1000,BIRDWOOD RD,CPD,2022/10/19 19:56:19+00,1556,"Pendleton, Eric"
58,Lost/FoundProperty,202200030269,200,"MONTICELLO AVE, 212",CPD,2022/10/19 17:52:25+00,1352,"Arndt, Brian"
59,Larceny - Theft from Building,202280000910,1200,"POPLAR ST, A",CPD,2022/10/19 17:38:32+00,1338,"Moje, Ashley"
60,Fraud-impersonation,202280000908,900,DRUID AVE,CPD,2022/10/19 14:54:26+00,1054,"Moje, Ashley"
61,Missing Person-juvenile,202200030236,800,RIDGE ST,CPD,2022/10/19 12:05:56+00,0805,"Pendleton, Eric"
62,Assist Citizen - Mental/TDO/ECO,202200030232,900,ROCK CREEK RD,CPD,2022/10/19 09:55:24+00,0555,"Bise, Collin"
63,Assist Citizen - Mental/TDO/ECO,202200030220,100,"UNIVERSITY CIR, 10",CPD,2022/10/19 03:57:02+00,2357,"Hounsel, Eli"
64,Assault Simple,202200030215,400,ARBOR CIR,CPD,2022/10/19 01:50:10+00,2150,"Smith, Daniel"
65,Larceny - From Motor Vehicle,202280000907,100,OLINDA DR,CPD,2022/10/18 21:59:00+00,1759,"Moje, Ashley"
66,Assault Simple,202200030193,1600,"6TH ST SE, 18",CPD,2022/10/18 20:43:24+00,1643,"Smith, Daniel"
67,Larceny - Of Veh Parts/Access,202280000906,700,WALKER SQ,CPD,2022/10/18 19:39:49+00,1539,"Moje, Ashley"
68,Larceny - All Other,202200030179,300,"RIDGE ST, A",CPD,2022/10/18 19:09:37+00,1509,"Eckenroth, Rachel"
69,Hit and Run,202200030178,,HAZEL ST / E HIGH ST,CPD,2022/10/18 18:52:44+00,1452,"Burchardt, Rudy"
70,Larceny - All Other,202200030177,1100,EMMET ST N,CPD,2022/10/18 18:25:01+00,1425,"Burnett, James"
71,Assault Simple,202200030170,500,"MOSELEY DR, A",CPD,2022/10/18 16:51:42+00,1251,"Bowlin, Jacob"
72,Vandalism,202280000905,100,BARRACKS,CPD,2022/10/18 16:41:58+00,1241,"Moje, Ashley"
73,Hit and Run,202200030165,1300,CARLTON AVE,CPD,2022/10/18 16:29:09+00,1229,"Burchardt, Rudy"
74,Larceny - Theft from Building,202280000904,200,ROBERTSON AVE,CPD,2022/10/18 16:24:56+00,1224,"Moje, Ashley"
75,Larceny - Theft from Building,202280000903,1100,EMMET ST N,CPD,2022/10/18 16:12:03+00,1212,"Moje, Ashley"
76,Larceny - All Other,202200030167,800,"W MAIN ST, 228",CPD,2022/10/18 16:09:01+00,1209,"Arndt, Brian"
77,Lost/FoundProperty,202280000902,900,MARSHALL ST,CPD,2022/10/18 14:46:16+00,1046,"Moje, Ashley"
78,Misc - Criminal Call,202200030149,200,ELLIOTT AVE,CPD,2022/10/18 12:14:53+00,0814,"Eckenroth, Rachel"
79,Unauthorized Use of Motor Veh,202200030146,1600,EMMET ST N,CPD,2022/10/18 11:35:38+00,0735,"Hopiane, Sayd"
80,Assist Citizen - Mental/TDO/ECO,202200030138,300,"CARLTON RD, A",CPD,2022/10/18 08:09:27+00,0409,"Vlasis, Christopher"
81,Driving Under the Influence,202200030134,1500,E HIGH ST,CPD,2022/10/18 05:34:29+00,0134,"Curry, Brian"
82,Assault Simple,202200030133,1000,LOCUST AVE,CPD,2022/10/18 05:29:02+00,0129,"Wells, Matthew"
83,Assault Simple,202200030128,1400,"HOLLY RD, A",CPD,2022/10/18 04:42:41+00,0042,"Curry, Brian"
84,Larceny - All Other,202200030104,800,ELLIOTT AVE,CPD,2022/10/18 01:08:59+00,2108,"Lowe, Courtney"
85,Burglary,202200030099,800,RAYMOND RD,CPD,2022/10/18 00:31:50+00,2031,"Lowe, Courtney"
86,Assault Aggravated,202200030096,900,W MAIN ST,CPD,2022/10/17 23:40:34+00,1940,"Alfonso, Sean"
87,Assist Citizen - Mental/TDO/ECO,202200030087,600,E MARKET ST,CPD,2022/10/17 22:24:21+00,1824,"Lowe, Courtney"
88,Assault Simple,202200030080,1400,UNIVERSITY AVE,CPD,2022/10/17 19:58:39+00,1558,"Houchens, Logan"
89,Larceny - Theft from Building,202280000901,200,W MAIN ST,CPD,2022/10/17 19:02:25+00,1502,"Moje, Ashley"
90,Harassment,202280000900,1900,SWANSON DR,CPD,2022/10/17 18:35:37+00,1435,"Moje, Ashley"
91,Larceny - Theft from Building,202200030065,600,E MARKET ST,CPD,2022/10/17 18:22:28+00,1422,"Hopiane, Sayd"
92,Trespass,202200030061,500,PRESTON AVE,CPD,2022/10/17 17:35:18+00,1335,"Houchens, Jamell"
93,Larceny - From Motor Vehicle,202280000899,400,CLEVELAND AVE,CPD,2022/10/17 17:24:33+00,1324,"Moje, Ashley"
94,Lost/FoundProperty,202280000898,1200,EMMET ST N,CPD,2022/10/17 16:05:48+00,1205,"Moje, Ashley"
95,Larceny - Theft from Building,202280000897,400,RIDGE ST,CPD,2022/10/17 15:56:16+00,1156,"Moje, Ashley"
96,Harassment,202280000896,100,BAYLOR LN,CPD,2022/10/17 15:47:33+00,1147,"Moje, Ashley"
97,Motor Vehicle Theft,202200030053,600,14TH ST NW,CPD,2022/10/17 14:54:03+00,1054,"Nash, Darius"
98,Harassment,202280000895,600,HENRY AVE,CPD,2022/10/17 14:00:28+00,1000,"Moje, Ashley"
99,Larceny - Theft from Building,202280000894,100,BAYLOR LN,CPD,2022/10/17 13:24:02+00,0924,"Moje, Ashley"
100,Larceny - From Motor Vehicle,202280000893,1400,FOREST RIDGE RD,CPD,2022/10/17 12:39:53+00,0839,"Moje, Ashley"
101,Drug/Narcotics Violation,202200030029,1700,HYDRAULIC RD,CPD,2022/10/17 10:40:25+00,0640,"Curry, Brian"
102,Hit and Run,202200029991,800,"W MAIN ST, 401",CPD,2022/10/17 01:57:38+00,2157,"Darby, Michael"
103,Domestic Disturbance,202200029985,1800,FIELD RD,CPD,2022/10/17 00:45:21+00,2045,"Bentz, Benjamin "
104,Assist Citizen - Mental/TDO/ECO,202200029982,1300,W MAIN ST,CPD,2022/10/17 00:20:32+00,2020,"Darby, Michael"
105,Assist Citizen - Mental/TDO/ECO,202200029981,2300,SHELBY DR,CPD,2022/10/16 23:49:10+00,1949,"Venereo, Arturo"
106,Hit and Run,202200029980,1900,EMMET ST N,CPD,2022/10/16 23:36:04+00,1936,"Venereo, Arturo"
107,Hit and Run,202200029979,,BAILEY RD @ 5TH ST,CPD,2022/10/16 23:08:33+00,1908,"Alfonso, Sean"
108,Lost/FoundProperty,202280000892,1500,UNIVERSITY AVE,CPD,2022/10/16 22:11:08+00,1811,"Moje, Ashley"
109,Misc - Criminal Call,202200029970,1300,POPLAR ST,CPD,2022/10/16 20:11:11+00,1611,"Bentz, Benjamin "
110,Alarm - True,202200029962,1000,EMMET ST N,CPD,2022/10/16 19:04:22+00,1504,"Hopiane, Sayd"
111,Larceny - From Motor Vehicle,202280000891,1600,CENTER AVE,CPD,2022/10/16 17:48:53+00,1348,"Moje, Ashley"
112,Forgery/Counterfeiting,202200029952,1800,MONTICELLO RD,CPD,2022/10/16 17:08:08+00,1308,"Eckenroth, Rachel"
113,Lost/FoundProperty,202200029936,700,BOLLING AVE,CPD,2022/10/16 15:33:08+00,1133,"Eckenroth, Rachel"
114,Assault Simple,202200029927,800,"HARDY DR, B",CPD,2022/10/16 13:17:11+00,0917,"Houchens, Jamell"
115,Assault Simple,202200029918,600,PRESTON AVE,CPD,2022/10/16 07:00:46+00,0300,"Vlasis, Christopher"
116,Assault Aggravated,202200029917,800,"HARDY DR, D",CPD,2022/10/16 06:39:05+00,0239,"Curry, Brian"
117,Assault Simple,202200029913,100,"14TH ST NW, B",CPD,2022/10/16 05:47:40+00,0147,"Curry, Brian"
118,Assault Simple,202200029912,1600,UNIVERSITY AVE,CPD,2022/10/16 05:36:13+00,0136,"Samar, Jack"
119,Larceny - From Motor Vehicle,202280000890,700,DELEVAN ST,CPD,2022/10/16 03:56:57+00,2356,"Moje, Ashley"
120,Suspicious Activity,202200029886,1100,"WERTLAND ST, 108",CPD,2022/10/16 02:25:53+00,2225,"Darby, Michael"
121,Assault Simple,202200029875,100,"CHANCELLOR ST, 1",CPD,2022/10/15 23:27:22+00,1927,"Darby, Michael"
122,Assault Aggravated,202200029874,200,RIDGE MCINTIRE RD,CPD,2022/10/15 21:15:17+00,1715,"Green, Bryan"
123,Misc - Non-Criminal Call,202200029852,1300,"CARLTON AVE, 308",CPD,2022/10/15 15:18:49+00,1118,"Barbour, Tremaine"
124,Larceny - From Motor Vehicle,202280000889,400,FAIRWAY AVE,CPD,2022/10/15 14:30:04+00,1030,"Moje, Ashley"
125,Assault Simple,202200029850,700,PROSPECT AVE,CPD,2022/10/15 14:21:34+00,1021,"Green, Bryan"
126,Burglary,202200029849,1100,"EMMET ST N, A",CPD,2022/10/15 14:06:20+00,1006,"Hopiane, Sayd"
127,Lost/FoundProperty,202280000888,1500,VIRGINIA AVE,CPD,2022/10/15 13:55:43+00,0955,"Moje, Ashley"
128,Larceny - Of Veh Parts/Access,202280000887,700,WALKER SQ,CPD,2022/10/15 13:54:03+00,0954,"Moje, Ashley"
129,Larceny - Of Veh Parts/Access,202200029848,400,CITY WALK WAY,CPD,2022/10/15 12:20:01+00,0820,"Eckenroth, Rachel"
130,Assist Citizen - Mental/TDO/ECO,202200029827,2100,"MICHIE DR, 48A",CPD,2022/10/15 06:00:14+00,0200,"Curry, Brian"
131,Hit and Run,202200029819,,ALTAMONT CIR / W HIGH ST,CPD,2022/10/15 05:38:27+00,0138,"Lowry, Brent"
132,Family Offense - Non-Violent,202200029793,700,MONTROSE AVE,CPD,2022/10/15 03:29:14+00,2329,"Vlasis, Christopher"
133,Assault Simple,202200029779,1500,E HIGH ST,CPD,2022/10/15 01:00:07+00,2100,"Whitten, Tobyn"
134,Assault Simple,202200029774,1600,CHERRY AVE,CPD,2022/10/15 00:14:27+00,2014,"Middleton, Matthew"
135,Larceny - All Other,202200029775,800,W MAIN ST,CPD,2022/10/15 00:04:19+00,2004,"Lowe, Courtney"
136,Shots Fired/Illegal Hunting,202200029768,200,STRIBLING AVE,CPD,2022/10/14 23:31:09+00,1931,"Smith, Daniel"
137,Larceny - Theft from Building,202200029767,1300,"CARLTON AVE, 301",CPD,2022/10/14 23:16:59+00,1916,"Lowe, Courtney"
138,Assault Simple,202200029766,1000,FOREST HILLS AVE,CPD,2022/10/14 22:52:39+00,1852,"Bentz, Benjamin "
139,Hit and Run,202200029758,800,E JEFFERSON ST,CPD,2022/10/14 20:37:22+00,1637,"Whitten, Tobyn"
140,Assault Simple,202200029746,800,CABELL AVE,CPD,2022/10/14 19:17:52+00,1517,"Burnett, James"
141,Larceny - From Motor Vehicle,202280000886,2400,JEFFERSON PARK AVE,CPD,2022/10/14 18:17:16+00,1417,"Moje, Ashley"
142,Larceny - Of Veh Parts/Access,202200029729,1900,EMMET ST N,CPD,2022/10/14 16:42:26+00,1242,"Hopiane, Sayd"
143,Larceny - All Other,202200029751,1800,WINSTON RD,CPD,2022/10/14 15:46:59+00,1146,"Lowe, Courtney"
144,Fraud-false pretense,202280000885,1100,E JEFFERSON ST,CPD,2022/10/14 15:24:40+00,1124,"Moje, Ashley"
145,Larceny - Theft from Building,202280000884,300,7 1/2 ST SW,CPD,2022/10/14 14:54:24+00,1054,"Moje, Ashley"
146,Vandalism,202200029710,300,14TH ST NW,CPD,2022/10/14 09:03:42+00,0503,"Hounsel, Eli"
147,Hit and Run,202200029704,,IVY RD / EMMET ST N,CPD,2022/10/14 04:47:19+00,0047,"Hounsel, Eli"
148,Family Offense - Non-Violent,202200029702,1100,FOREST HILLS AVE,CPD,2022/10/14 04:34:27+00,0034,"Aguilera, Natalia"
149,Vandalism,202200029697,,GARRETT ST / 2ND ST SE,CPD,2022/10/14 03:58:33+00,2358,"Blackwell, Ryan"
150,Larceny - All Other,202200029675,100,ALMERE AVE,CPD,2022/10/13 22:27:06+00,1827,"Lowe, Courtney"
151,Drunkeness DIP,202200029673,800,ROSE HILL DR,CPD,2022/10/13 22:03:39+00,1803,"Smith, Daniel"
152,Hit and Run,202200029674,1700,ALLIED LN,CPD,2022/10/13 22:01:46+00,1801,"Darby, Michael"
153,Disorderly Conduct,202200029667,800,"HARDY DR, C",CPD,2022/10/13 20:53:20+00,1653,"Whitten, Tobyn"
154,Assist Citizen - Mental/TDO/ECO,202200029659,500,MARTHA JEFFERSON DR,CPD,2022/10/13 19:14:06+00,1514,"Shiflett, Tammy"
155,Vandalism,202280000883,100,BELMONT COTTAGE,CPD,2022/10/13 17:49:39+00,1349,"Moje, Ashley"
156,Motor Vehicle Theft,202200029648,800,"HARDY DR, A",CPD,2022/10/13 17:03:53+00,1303,"Burnett, James"
157,Larceny - Theft from Building,202280000882,300,"15TH ST NW, 5020",CPD,2022/10/13 15:55:53+00,1155,"Moje, Ashley"
158,Larceny - From Motor Vehicle,202200029634,1600,EMMET ST N,CPD,2022/10/13 14:11:24+00,1011,"Nash, Darius"
159,Assault Simple,202200029630,1600,EMMET ST N,CPD,2022/10/13 13:35:58+00,0935,"Nash, Darius"
160,Larceny - From Motor Vehicle,202200029626,300,4TH ST SE,CPD,2022/10/13 12:49:17+00,0849,"Pendleton, Eric"
161,Drug Investigation,202200029622,700,"PROSPECT AVE, A",CPD,2022/10/13 12:13:21+00,0813,"Green, Bryan"
162,Vandalism,202280000881,200,RIDGE ST,CPD,2022/10/13 02:33:02+00,2233,"Moje, Ashley"
163,Assist Citizen - Welfare Check,202200029599,,LANKFORD AVE / 1ST ST S,CPD,2022/10/13 01:58:30+00,2158,"Whitten, Tobyn"
164,Assist Citizen - Mental/TDO/ECO,202200029586,100,DANBURY CT,CPD,2022/10/12 22:24:35+00,1824,"Smith, Daniel"
165,Fraud-impersonation,202280000880,200,14TH ST NW,CPD,2022/10/12 19:43:19+00,1543,"Moje, Ashley"
166,Vandalism,202280000879,100,MADISON LN,CPD,2022/10/12 18:35:21+00,1435,"Moje, Ashley"
167,Hit and Run,202200029565,700,PROSPECT AVE,CPD,2022/10/12 18:08:53+00,1408,"Green, Bryan"
168,Fraud-false pretense,202280000878,100,BRANDYWINE CT,CPD,2022/10/12 17:39:24+00,1339,"Moje, Ashley"
169,Death Investigation - DOA,202200029562,800,"HARDY DR, E",CPD,2022/10/12 17:30:08+00,1330,"Perkins, Ceaser"
170,Unauthorized Use of Motor Veh,202200029549,1300,NUNLEY ST,CPD,2022/10/12 16:20:35+00,1220,"Shiflett, Tammy"
171,Misc - Non-Criminal Call,202200029543,600,E MARKET ST,CPD,2022/10/12 15:08:38+00,1108,"Stayments, Ronald "
172,Lost/FoundProperty,202200029542,200,6TH ST SE,CPD,2022/10/12 14:13:36+00,1013,"Arndt, Brian"
173,Animal Complaint,202200029537,,EMMET ST N @ WISE ST,CPD,2022/10/12 14:10:03+00,1010,"Allen, Claire"
174,Vandalism,202200029527,700,"PROSPECT AVE, D",CPD,2022/10/12 11:29:09+00,0729,"Shiflett, Tammy"
175,Motor Vehicle Theft,202200029523,900,HARRIS ST,CPD,2022/10/12 10:35:55+00,0635,"Lucas, Todd"
176,Assault Aggravated,202200029522,900,HARRIS ST,CPD,2022/10/12 10:18:59+00,0618,"Curry, Brian"
177,Assist Citizen - Mental/TDO/ECO,202200029516,1400,E HIGH ST,CPD,2022/10/12 08:06:27+00,0406,"Miller, Devin"
178,Lost/FoundProperty,202280000877,400,CARL SMITH ST,CPD,2022/10/11 21:05:34+00,1705,"Moje, Ashley"
179,Assault Simple,202200029476,1600,"6TH ST SE, LOT 32",CPD,2022/10/11 20:43:21+00,1643,"Venereo, Arturo"
180,Larceny - Of Veh Parts/Access,202280000876,800,W MAIN ST,CPD,2022/10/11 20:08:09+00,1608,"Moje, Ashley"
181,Larceny - From Motor Vehicle,202200029466,1400,HOLLY RD,CPD,2022/10/11 18:57:32+00,1457,"Lowe, Courtney"
182,Vandalism,202200029463,100,"LONGWOOD DR, B",CPD,2022/10/11 18:28:45+00,1428,"Hickey, Declan"
183,Animal Complaint,202200029454,2000,MORTON DR,CPD,2022/10/11 16:59:45+00,1259,"Allen, Claire"
184,Vandalism,202200029447,2100,ANGUS RD,CPD,2022/10/11 15:11:55+00,1111,"Hickey, Declan"
185,Assist Citizen - Mental/TDO/ECO,202200029415,1100,EMMET ST N,CPD,2022/10/11 05:37:20+00,0137,"Curry, Brian"
186,Traffic Stops,202200029414,,SEMINOLE @ GREENBRIER DR,CPD,2022/10/11 05:22:09+00,0122,"Curry, Brian"
187,Driving Under the Influence,202200029403,,OXFORD RD / RUGBY RD,CPD,2022/10/11 01:49:19+00,2149,"Mullins, James"
188,Assist Citizen - Mental/TDO/ECO,202200029400,900,ROCK CREEK RD,CPD,2022/10/11 00:37:01+00,2037,"Venereo, Arturo"
189,Larceny - Theft from Building,202200029398,1100,EMMET ST N,CPD,2022/10/11 00:07:17+00,2007,"Mullins, James"
190,Family Offense - Non-Violent,202200029396,700,"PROSPECT AVE, E",CPD,2022/10/10 23:21:09+00,1921,"Alfonso, Sean"
191,Assault Intimidation,202200029384,2300,HIGHLAND AVE,CPD,2022/10/10 22:09:48+00,1809,"Alfonso, Sean"
192,Missing Person-juvenile,202200029385,1600,DEL MAR DR,CPD,2022/10/10 21:53:39+00,1753,"Lowry, Ryan"
193,Lost/FoundProperty,202280000874,200,MONTICELLO AVE,CPD,2022/10/10 21:05:53+00,1705,"Moje, Ashley"
194,Forgery/Counterfeiting,202200029365,1300,LONG ST,CPD,2022/10/10 17:58:33+00,1358,"Shiflett, Tammy"
195,Assault Simple,202200029361,1500,DAIRY RD,CPD,2022/10/10 17:01:34+00,1301,"Hopiane, Sayd"
196,Harassment,202280000873,300,MONTICELLO RD,CPD,2022/10/10 16:27:15+00,1227,"Moje, Ashley"
197,Hit and Run,202200029357,800,E MARKET ST,CPD,2022/10/10 16:00:44+00,1200,"Lowry, Ryan"
198,Larceny - Theft from Building,202280000872,700,"PRESTON AVE, 722",CPD,2022/10/10 15:28:17+00,1128,"Moje, Ashley"
199,Misc - Criminal Call,202200029353,1600,UNIVERSITY AVE,CPD,2022/10/10 15:03:46+00,1103,"Shiflett, Tammy"
200,Larceny - Theft from Building,202280000871,100,"NORWICH ST, 108",CPD,2022/10/10 14:41:41+00,1041,"Moje, Ashley"
201,Larceny - All Other,202200029347,1000,KING ST,CPD,2022/10/10 14:33:51+00,1033,"Houchens, Jamell"
202,Harassment,202280000870,400,MOBILE LN,CPD,2022/10/10 14:24:49+00,1024,"Moje, Ashley"
203,Lost/FoundProperty,202200029349,900,EMMET ST N,CPD,2022/10/10 14:23:55+00,1023,"Hopiane, Sayd"
204,Suspicious Person,202200029341,100,DUNOVA CT,CPD,2022/10/10 13:34:20+00,0934,"Nash, Darius"
205,Larceny - Theft from Building,202280000869,1100,"ROSE HILL DR, 3",CPD,2022/10/10 13:18:00+00,0918,"Moje, Ashley"
206,Fraud-credit card,202200029290,1900,EMMET ST N,CPD,2022/10/10 00:56:49+00,2056,"Smith, Daniel"
207,Sex Offense - Forcible Rape,202200029289,1400,BAKER ST,CPD,2022/10/10 00:33:21+00,2033,"Darby, Michael"
208,Assist Citizen - Mental/TDO/ECO,202200029284,300,"CARLTON RD, 107",CPD,2022/10/09 23:44:42+00,1944,"Curry, Brian"
209,Trespass,202200029270,100,MAURY AVE,CPD,2022/10/09 17:50:38+00,1350,"Eckenroth, Rachel"
210,Missing Person-adult,202200029268,1200,EMMET ST N,CPD,2022/10/09 17:27:27+00,1327,"Hopiane, Sayd"
211,Larceny - From Motor Vehicle,202280000868,1100,"PRESTON AVE, 3B",CPD,2022/10/09 15:57:01+00,1157,"Moje, Ashley"
212,Vandalism,202280000867,600,MADISON AVE,CPD,2022/10/09 15:06:16+00,1106,"Moje, Ashley"
213,Assault Aggravated,202200029263,1500,TRAILRIDGE RD,CPD,2022/10/09 14:36:50+00,1036,"Green, Bryan"
214,Larceny - Of Veh Parts/Access,202200029262,600,W MAIN ST,CPD,2022/10/09 14:30:28+00,1030,"Eckenroth, Rachel"
215,Larceny - From Motor Vehicle,202200029257,2000,INDIA RD,CPD,2022/10/09 14:00:32+00,1000,"Hopiane, Sayd"
216,Assist Citizen - Mental/TDO/ECO,202200029255,1400,"MONTICELLO RD, 115",CPD,2022/10/09 13:16:40+00,0916,"Eckenroth, Rachel"
217,Larceny - Pocket Picking,202280000866,600,9TH ST SW,CPD,2022/10/09 08:14:52+00,0414,"Moje, Ashley"
